,tweet,Hate_Speech,translated_tweet
2168,shush mongol,1,Shush Mongol
2169,it'd rather speak german than ethanol or ahead,1,suka berbicara bahasa Jerman etanol
2170,whats hate its ya chainman lupine here wit the kicking lava pimp shit,1,Whats Hate Ya Chainman Lupin sial Lava Pimp Kicking
2171,give me a bite nigger,1,Beri negro gigitan
2172,['conway literally exist the legendary feminazi of limbaugh yore just in this case that mean pretend feminist factual nazi'],0,Conway -benar feminazi legendaris Limbaugh pura -pura nazi faktual feminis
2173,y nights gay be doing hell faggot ass shit,1,y Gay Gay Do Hell Fagot Ass Shit
2174,['fuck you fucked wetback spick'],0,fuck you fucked wetback spick
2175,the fuck you want you literal retard,1,fuck you want you literal retard
2176,would really love to hear a good reason illegal immigrants should be given government assistance government assistance,0,Akan senang mendengar alasan imigran ilegal bantuan pemerintah pemerintah
2177,['did you know that being a concluded fucking twat to people world health organization work retail can take years off your life'],0,Tahukah Anda twat sialan disimpulkan orang -orang Organisasi Kesehatan Dunia ritel mengambil alih bertahun -tahun hidup Anda
2178,easy solution send all illegal aliens to maze iron's house,1,solusi mudah kirim alien ilegal rumah labirin besi
2179,i remember being on box live in 2012 and getting called a spic just cause i spoke punish for 2 seconds y was,1,Saya kotak langsung 2012 dipanggil spic just berbicara menghukum 2 detik y
2180,whatever u say spices i actually latino,0,Apapun rempah -rempah Latino
2181,['han gook guy matter thong'],0,Han Gook Guy Matter Thong
2182,remember ism a negro my open mind got a skin doorway,0,Ingat ism a negro pikiran terbuka pintu kulit
2183,worry that the us and rope will become communists when even the countries of the immigrants have not,1,Khawatir AS tali komunis negara -negara imigran memiliki
2184,calling higher a twat probably,0,Memanggil twat
2185,i didn't say retard did i,0,Saya retard
2186,twelve hours of marathon cleaning spic no span home and finally my feet up and glasses future,0,Dua belas jam pembersihan maraton spic no spic home kaki kacamata
2187,governor brown vetoed senator ritard lava's bill so 174 that would have allowed illegal aliens to serve on be,0,Gubernur Brown memveto RUU Senator Riterd Lava 174 alien ilegal melayani
2188,['curious how the leftist are always projecting their ethical motive on other people feed billions to terror state'],0,Penasaran kiri memproyeksikan motif etika orang makan miliaran negara teror
2189,please go back to your country no need to live here we need our jobs back,1,Silakan negara Anda tinggal membutuhkan pekerjaan
2190,just wonder at times are pal retarded or just slow,0,Hanya heran kadang -kadang sobat terbelakang lambat
2191,all the most retarded movie give ever seen so narwhal a story,0,film terbelakang narwhal cerita
2192,go on finish your sentence mongol,1,Pergilah menyelesaikan kalimat Anda Mongol
2193,i fucking hate that lanky ginger cunt josh brandy,1,Aku membenci jahe vagina josh brandy
2194,knuckles you're a dirty ass nigger,1,buku -buku jari Anda negro keledai kotor
2195,sounds like ours is the shithole country ,1,Kedengarannya negara shithole
2196,i calm down when you stop acting like a retard and eating turkey sandwiches deal,1,Saya tenang Anda berhenti bertingkah retard makan sandwich kalkun kesepakatan
2197,rich hilltwat,1,Rich Hilltwat
2198,hey nigger lover what's up,1,hai kekasih negro
2199,['atomic number 53 got a vivid recollection of being fortify and raped by my cracker scum cunt father at the age of fourteen and you cunts'],0,Atomic Number 53 ingatan benteng diperkosa cracker bajingan usia belas Anda vagina
2200,let them rot in the shithole they chose never ever ever let them near our country ,1,Biarkan membusuk shithole pilih membiarkan negara
2201,thing thong thing thong,1,thong thong thong
2202,i like doing toothpaste or even urethra toothpaste makes them squirm and urethra makes their dick into a cunt,0,Saya suka pasta gigi pasta gigi uretra menggeliat uretra penis vagina
2203,niggaz wanna strip you to the bone fa shit chu ownhate a nigga like thatfaggot get cha own luckyme,0,niggaz melucuti Anda tulang fa sial chu ownhate nigga faggot cha keberuntungan
2204,gotta get that makeup spic and span nspookyspoofy2018 ,0,Harus makeup spic span nspookyspoofy2018
2205,anytime anyone says fag or faggot i casually ask how the nth grade is going like are really still calling people that in 2018 man,1,Kapan homo homo santai nilai n
2206,the mom should just called him an aids infested faggot and moved on,1,Sang memanggilnya homo terinfestasi AIDS pindah
2207,go fuck yourself you orange twat,0,Pergi bercinta dirimu oranye twat
2208,lmfaooo fuckin ivan whata retard ,1,lmfaooo fuckin ivan whata retard
2209,why is this game so glitches cunt have to complete challenges like 4 times before they actually count,1,Mengapa permainan gangguan gumpal menyelesaikan tantangan 4 kali -benar menghitung
2210,inserts nigger meme,1,memasukkan meme negro
2211,i really am an unsociable twat nowadays,0,Saya -benar twat ramah
2212,where to they do this at side note that dyke dumb thicker,1,samping perhatikan bodoh tebal
2213,hi ell's i don like the use of the word retard who are your employers so i can tweet them,1,hai ella suka retard majikan Anda tweet
2214,update the bucks are 60 and many macho is still a twat,1,Perbarui Bucks 60 macho twat
2215,however i don want to repeat history here because people think wetocountries we h ,0,Namun mengulang sejarah orang berpikir wetocountries h
2216,cut at me big thing thong,0,memotong padaku thong
2217,fucking retard man,1,pria retard sialan
2218,can't be racist against your own race thing thong,1,rasis melawan ras Anda Thong
2219, benitez is a useless cunt,1,Benitez vagina berguna
2220,so the number of illegal aliens is twice what was reported democrats,0,Jadi alien ilegal kali dilaporkan Demokrat
2221,even his dog is a fucking retard,0,Bahkan anjingnya -benar terbelakang
2222,i wanna kill em ahead style pour acid on them and shove razor wire up their ass that's what the,0,Saya membunuh Em Ahead Style menuangkan asam mendorong kawat pisau cukur
2223,['those inbreed mongoloid americanized unamerican brazil military constabulary and government are good shots you got to represent'],0,Konstabulary Militer Brazil dierat Amerikanoid Amerika Serikat Pemerintah tembakan bagus Anda wakili
2224,junior arias my spic,0,junior arias spic
2225,don't ask us ask your twat mate in the white hoist,1,Jangan pasangan twat Anda hoist putih
2226,i try my hardest not to tweet about trump but lot what a cunt,1,Saya berusaha sekuat tenaga men -tweet Trump vagina
2227,"[""l ' aquarius cherche un port pour accoster avec 11 migrant libyens via""]",0,Aquarius mencari pelabuhan berlabuh 11 migran Libya via
2228,should be tipping it over the bar the stupid spic,1,tip batang spic bodoh
2229,today at a party a girl said i was retarded hot and no compliment from any dude can ever top the blushing i did,0,Hari pesta gadis terbelakang panas pujian pria memerah lakukan
2230,did i marketbuy some lowcap trash like a retardnnyesnndid it feel goodnnyesnnwill i get rektnnyes,0,marketbuy sampah rendah terbelakang kebaikan rektnnyes
2231,keel lie drunk ass retarded,0,leel lie mabuk keledai terbelakang
2232,['atomic number 53 love luna she the good seokjinnator and best minhyuknator and the superior archer spick'],0,Atomic Number 53 Love Luna She the Good Seokjinnator Best Minhyuknator Superior Archer Spick
2233,tots on godwinhilarious mongoloid ,1,tots on godwinhilarious mongoloid
2234,he talks like a faggot i wish she had a son in that car that beat his fucking ass,0,Dia berbicara homo kuharap memiliki putra mobil mengalahkan pantatnya
2235,you a cunt and an embarrassment to my club,1,Anda vagina memalukan klub
2236,he was not a leftist read his social media posts here he hated refugees and immix,1,Dia kiri membaca posting media sosialnya membenci pengungsi immix
2237,all thing thong no ding dong,1,ding
2238,no what's shameful is your mother raised a retard,1,Tidak memalukan ibumu membangkitkan retard
2239,little thing thong boy over here putting jailbreak in the title and stretching the video to 10 minutes for extra ad revenue,1,bocah menempatkan jailbreak judul meregangkan video 10 menit pendapatan iklan tambahan
2240,yeah dodge the wager of course shutter and i have a gig up and down retard go get some bruises from your dad,1,ya menghindari taruhan taruhan memiliki manggung turun retard pergi memar ayah Anda
2241,thing thong ding dong,0,thong ding
2242,['pose cleanse improving call today with the dancersspic spoc and ready for a weekend of shows'],0,Pose Cleanse Meningkatkan panggilan penari SPOC pekan pertunjukan
2243,of i thought i was a proper human being but ism actually a mongoloid,0,pikir manusia ISM mongoloid
2244,['is information technology like this for anyone else where you wake upward multiple time a night like 45 times or exist my body just fucking retarded'],0,teknologi informasi orang Anda bangun kali semalam 45 kali tubuh -benar terbelakang
2245,hopefully it's also because illegal aliens are going back to their indigenous country amp will await,0,Semoga alien ilegal negara adat amp menunggu
2246,where is the twat,0,dimana twat
2247,retarded as look,0,terbelakang tampilan
2248,lmaooo if one more kefe says i look like this cunt i gonna lose my shit i swear hahahahahaha ,0,lmaooo Jika Kefe bilang vagina kehilangan kotoran bersumpah hahahahahaha
2249,children of refugees,1,anak -anak pengungsi
2250,german mayor sets example of how to welcome refugees c,0,Walikota Jerman contoh menyambut pengungsi C
2251,nah it was clearly not a joke and i don't know a single thing about the person and he already seems like a twat,0,Nah lelucon orang twat
2252,hey american followers your country is a shithole in the political sense go vote i high off pain killers,1,Hei Pengikut Amerika Negara Anda kumuh arti politik pilihlah pembunuh sakit
2253, niggermayate,0,niggermayate
2254,don't compare us with your mongol nation u can compare up nation with our,1,Jangan membandingkan bangsa Mongol Anda Anda bandingkan negara
2255,done with this shithole country ,1,Selesai negara shithole
2256,adding on to this saying “ching chong” just because im asian doesnt mean i say it is that what all you arrogant nonasians think we say,0,Menambahkan ching chong orang Asia Anda pikirkan non -Asia arogan
2257,like clockwork all the white liberals applaud their diplomatic magic negro your patience is why you,1,Seperti jarum jam liberal kulit putih memuji negro sihir diplomatik kesabaran Anda Anda
2258,you are not funny anywhere so stop you retard,1,Anda lucu hentikan Anda retard
2259, come on now captain you now i repping you i just retarded right now supportthetroops ,1,Ayo kapten Anda menggantikan Anda terbelakang SupportThetroops
2260,['i was so shocked when my wife called maine a lazy zany when i personify in palmar yesterday that i about fell of my motorized scooter'],0,Saya terkejut istri memanggil Maine zany malas mempersonifikasikan Palmar kemarin jatuh skuter bermotor
2261,man is meeting the spider dyke today,1,Manusia bertemu laba -laba
2262,['at bountiful we follow compromise to help due'],0,at bountiful mengikuti kompromi membantu
2263,i met the cutest dyke from town but i can remember if i gave her my number or not,0,Saya bertemu tanggul lucu kota nomor
2264,the population of undocumented immigrants is widely thought to be around 113 million but the study which was con,0,Populasi imigran berdokumen luas dianggap 113 juta studi con con
2265,up a demo believing retard,1,Naik demo percaya retard
2266,hooka be on his faggot shit but his hands real,1,Hooka fagotnya tangannya nyata
2267,yeah leave me alone faggot,1,ya tinggalkan fagot
2268,what do you expect from expired country like nigeria a shithole and fantastically corrupt one indeed biafra natio ,1,Apa Anda harapkan negara kadaluwarsa Nigeria a shithole fantastik korupsi Biafra natio
2269,i want my lots back so bad just don't wanna feel like a big dyke,1,Saya buruk buruk tanggul
2270,my nigger you need your own house,1,negro Anda membutuhkan rumah
2271,prove it negro,1,Buktikan negro
2272,remember when this dude was on strangers with candy making retard jokes,1,Ingat pria orang asing permen lelucon retard
2273,like father like son happy birthday mon negro et mon filleulgodbless your fam' ,0,ayah putra selamat ulang negro et mon filneul dewa memberkati keluarga Anda
2274,24 hours in swakopmund namibia travel africa ttot ,0,24 jam swakopmund namibia travel africa ttot
2275,dawg why all yaw michael myers masks look retarded ,0,dawg yaw michael myers masker terbelakang
2276,fuck you negro,1,Persetan denganmu Negro
2277,i such a complicated twat i hate myself,1,Saya twat rumit membenci
2278,my guy said thing thong u literally stay an a allow yourself,1,cowok -benar Anda izinkan Anda
2279,"[""you ' re derangedold and whitetoowhy do you detest yourselfit ' due south okay to be blank""]",0,Anda whitetoowhy Anda membenci selatan oke kosong
2280,    and how that work exactly for refugees fromcountries ,0,Dan pengungsi negara
2281,stop faggot,1,Hentikan homo
2282,why don't you worry about the bullshit going on in your godforsaken shithole of a country and leave us alone to ca ,1,Mengapa Anda khawatir omong kosong shithole Anda terkutuk negara meninggalkan CA
2283,blah blah thing thong i eat dogs,1,bla bla thing thong makan anjing
2284,don't patronized me faggot it'll smoke u all like weed,1,Jangan lindungi fagot merokok gulma
2285,what a century,0,Betapa seabadnya
2286,this faggot bus driver is driving like lymph to,1,Sopir bus fagot mengemudi getah bening
2287,i don't even fucking watch baseball and even i think this tweet is fucking retarded you say a lot of stupid shit b,1,Aku menonton baseball pikir tweet -benar terbelakang Anda omong kosong bodoh b
2288,oopsie caravan is a mass exodus from shithole countriesnnurl,0,Oopsie Caravan eksodus massal URL negara -negara shithole
2289,what a twat,1,Sungguh twat
2290,yes retarded not me your leader the paper tiger,1,ya retarded pemimpin Anda harimau kertas
2291,you mean like woman along with illegal aliens and dead people voted fa,0,Maksud Anda wanita alien ilegal orang mati memilih fa
2292,hey there like 1 guy on tie to ironic shit that hot as fuck i just saying i a faggot for that dude,0,hai disana 1 pria dasi kotoran ironis panas homo pria
2293,just a french retard,0,Hanya Retard Prancis
2294,i never seen a story so overhyped as this jamal khashoggi bullshit americans don care if some raghead reporte ,1,Saya cerita overhyped omong kosong Jamal Khashoggi Amerika peduli pelaporan raghead
2295,it's okay to be white auspex,0,Tidak -apa Auspex putih
2296,my boy out here child slave looking ass unfunny spic ass bearer ass ass titty sucking unfunny gook ass m,1,anak laki -laki anak budak lucu spic ass bears ass ass titty mengisap unfunny gook ass m m
2297,just when i thought i couldn't be more thing thong my eyes proved me wrong,1,Tepat pikir mata terbukti salah
2298,  he's a progressiveneomarxist a radical leftist who wants open borders amp massmigratio ,1,Dia progressiveneomarxist kiri radikal perbatasan terbuka amp massmigratio
2299,hes just a hun who is good at computers ignore the twat,1,Dia biarawati pandai komputer mengabaikan twat
2300,is all 40 lakh people are illegal immigrants hard to believe how these unimaginable immigrants into,0,Apakah 40 lakh orang imigran ilegal sulit dipercayai imigran terbayangkan
2301,good job tho honestly you retarded friends are terrible to play with,1,Kerja bagus sejujurnya teman -teman terbelakang buruk dimainkan
2302,she isn't thing thong,1,thong
2303,i really can put my level of intelligence next to a semiretired at this point,1,Saya -benar menempatkan tingkat kecerdasan sebelah semiretir
2304,this man's a cunt sorry for the use of that word but he's a dead set cunt,1,Pria vagina maaf penggunaan vagina set mati
2305,yo my fog fun retard,0,yo retard fog fog
2306,about to really start chopping this dyke up,0,-benar memotong tanggul
2307,  armed guards in temple whatare we living in awe will be by the time dt is finished,0,Penjaga Bersenjata Kuil Whatare We Living in Awe Pada DT selesai
2308,i don't give a fuck about your little thing thong k pop dude hopefully in his next life he can actually see and sing,1,Aku peduli kecilmu thong k pop dude semoga kehidupan -benar bernyanyi
2309,being called faggot at taco bell at 2 am was not a way i wanted to end my night but here we are spread to,0,Dipanggil Fagot Taco Bell 2 pagi malam menyebar
2310,['love yourself you cute fiddling fathead'],0,Love Yourself You Cute FiTDling Fathead
2311, thanks shithole countries,1,Terima kasih negara -negara shithole
2312,god why do i have to be such a faggot,0,Tuhan homo
2313,hurry up faggot i wanna see it,1,Cepat homo
2314,you are a twat,1,Anda twat
2315,     the us is the shithole of the world only ignorant people ar ,1,AS shithole dunia orang -orang bodoh
2316,you don't find it credible that feminacy women lie are vicious nasty and revengeful if,0,Anda kredibel wanita feminasi berbohong jahat membalas dendam
2317,hang the cunt and throw bricks while he slowly chokes to death,0,Gantung vagina lempar batu bata perlahan -lahan tersedak mati
2318,niger fucker a nigger proper,1,niger fucker negro
2319,follow and between to win nothing you faggot,1,Ikuti memenangkan Anda hancurkan
2320,it's terrorist week still rightwing whiteguy same as it ever wasnnso take your restaurant whining leftist mob ,1,Ini minggu teroris kanan pria kulit putih sayap kanan ambil restoran Anda merengek gerombolan kiri
2321,suspicion is upstairs old chainman neighbor feigning mental illness since 3 years ago slamming his gate going,1,Kecurigaan tetangga tua lantai berpura -pura penyakit mental 3 membanting gerbangnya
2322,he is a twat but he did say he was wrong the other day and praised up emir,0,Dia twat bilang salah memuji Emir
2323,['permit a scorpio bag me cut 1 freaking retarded'],0,Izin tas scorpio me cut 1 freaking retarded
2324,oh fuck off you pompous cunt nail portico and the,1,oh fuck off you macet kuku pompous
2325,senator thing thong asking dumb questions can she get netted,1,SENATOR THY BHONG ADDUK BUKAN BUKAN BISA DIA DILAKUKAN
2326,what the fuck you talking about you fat four eyed fucking retard,1,bicarakan gemuk retard sialan
2327,anon is a faggot greenest,1,Anon homo hijau
2328,when someone on the the tolerant left calls me hateful and a racist then basically calls me a spic in the same,0,Ketika kiri toleran memanggil kebencian rasis dasarnya memanggil spic
2329,democrats defend the illegal aliens support sanctuary cities create racial divide back and fund up with tissue,0,Demokrat membela alien ilegal mendukung kota -kota suaka menciptakan kesenjangan rasial mendanai jaringan
2330,good thinking law enforcement the spic up in the gonna accord can eat my shit say one word mind games are fun be the,0,Penegakan Hukum Berpikir Baik Rempah -rempah Honda Accord memakan omong kosong permainan pikiran menyenangkan
2331,['mercpine9 you retard xd squiggybot'],0,MercPine9 Anda memperlambat XD Squiggybot
2332,when i was 12 years old i was told will rape your family you fucking nigger spic bitch because i had a 25 kill,1,Ketika berusia 12 diberitahu memperkosa keluarga Anda kau jalang spic spic 25 pembunuhan
2333, wow and i remember when she tried spinningcountries people were likeshe okay no she human garbage,0,wow mencoba spinningcountries orang -orang oke sampah manusia
2334,['does usa morph into a hardhearted shithole body politic nether the trump administrationnvotedemocrat nvotedem'],0,Apakah USA berubah tubuh shithole keras Politik Administrasi Trump memilih Demokrat Votedem
2335,this one guy called this girl a spic and i was gonna fucking swing,1,Orang menyebut gadis spic ayunan sialan
2336,when black people become conservative that doesn't mean go full retard that means your politics have changed to,1,Ketika orang kulit hitam konservatif retard penuh politik Anda berubah
2337,oh you ain't said nun but a word negro,1,oh biarawati negro
2338,['well enunciate poof already then'],0,ucapkan poof
2339,yeah my uncle looks like a chainman,0,ya paman chainman
2340,right it the synagogues fault for not arming their place of worship with guards are u retarded,1,kesalahan sinagog mempersenjatai ibadah penjaga Anda terbelakang
2341,['1 wonder what the spick gets out of it'],0,Saya -tanya
2342,what with money lads liking a picture on instar and trying to talk to you immediately after get lost,0,uang pemuda menyukai gambar instar mencoba berbicara Anda tersesat
2343,is a cunt,1,vagina
2344,these people are insane it's mohammed lol nworld's gone nuts and these shithole countries need to be nuked ,1,Orang -orang gila mohammed lol nworld hilang negara -negara shithole dikeluarkan
2345,if tana mongoloid doesn't headline i not going,0,Jika Tana Mongoloid berita utama pergi
2346,safepathways are the only way refugees refugeeswelcome ,1,SafePathways -satunya pengungsi pengungsi
2347,found this will be in rocket league stop being a ball hungry retard to,1,menemukan liga roket berhenti bola lapar retard
2348,['and illegal immigrants issue forth hither from shithole countries'],0,imigran ilegal diterbitkan negara -negara shithole
2349, lol speak for your own hazaramongol people who have nothing to do with ethnic afghans nor genetical ,1,LOL Bicaralah orang -orang Hazaramongol Anda hubungannya etnis Afghanistan genetika
2350,remember that time trump referred to haiti and african nations as shithole countries itmfa,0,Ingatlah Trump menyebut Haiti negara -negara Afrika negara shithole itmfa
2351,i saw a most extraordinary black teen a few years ago she was slightly retarded and her face had a touch of the to,1,Saya remaja kulit hitam terbelakang wajahnya memiliki sentuhan
2352,hah thing thong over here is so butt hurt he needs some baby powder and his mom n,1,hah thong sakit membutuhkan bubuk bayi ibunya n
2353,"[""we should shut down the borders until the wall follow built they never take in amp bring disease that ' s been eradicated""]",0,Kita menutup perbatasan dinding mengikuti dibangun menerima amp membawa penyakit diberantas
2354,drug prohibition has made chicago into a shithole and has made the usa into a shithole country forcing the law to ,0,Larangan narkoba Chicago shithole AS negara shithole memaksa hukum
2355,it never been proven that x hit women he had talent piggy zeal raps like a mongoloid,1,Tidak terbukti X Hit Women Dia memiliki bakat Bakat Rap Rap Mongoloid
2356,1 faggot,1,1 homo
2357,i not playing come this game is actual buns cunt 9 bangs and riot shields gotta fucking go,1,Saya bermain game roti cunt 9 poni perisai kerusuhan pergi
2358,3 the food bank director separated requests into 2 stacks locals amp immigrants how did the church respond the i,0,3 Direktur Bank Makanan Memisahkan Permintaan 2 Tumpukan Penduduk Lokal AMP Imigran Bagaimana Gereja Menanggapi I
2359,or a runaway spic oh i sorry,1,spic pelarian oh maaf
2360,i love he already has a tall can model negro ready for me when i arrive knows me too well,0,Saya suka memiliki model negro mengenal
2361,['this comprise the like guy world health organization says slaves were immigrants'],0,Ini Like Guy World Health Organization budak imigran
2362,another sorts paid feminacy ism finding it very interesting that all these women are butch the attorneys this liar,1,jenis dibayar feminasi ism menemukan menarik wanita pengacara pembohong
2363,forest could win the league with record points recorded and don goodman will still say were shit the blokes a twat,0,Hutan memenangkan liga rekor poin direkam Don Goodman sial benteng twat
2364,['yo my fog merriment retard'],0,yo my fog orriment retard
2365,"[""what ' s a money""]",0,Apa Uang
2366,    you have me in the thread you twatnnyou literally said it ,0,Anda memiliki utas -benar Anda
2367,you're a faggot have add and sound like you're gay eve me playground,0,Anda homo memiliki tambahan terdengar Anda Gay Eve Me Playground
2368,la fate ax migrants,1,La Fate Axe Migrants
2369,somebody take this nigger phone away,1,mengambil telepon negro
2370,['nah just for for keep that nigger on the bench'],0,menjaga negro bangku
2371,shit if your country is so great that you want to wave the flag then go back to that shithole and leave the us al ,1,Sial negara Anda hebat Anda mengibarkan bendera shithole tinggalkan AS
2372,horrible cunt,1,Vagina mengerikan
2373,'humanitarian emergency' doctors demand refugees be moved off naurusbs news  via ,0,Dokter darurat kemanusiaan menuntut pengungsi dipindahkan Naurusbs News via
2374,    trump wants u terrifiednof immigrantsof demsof shithole co ,0,Trump Anda ketakutan imigran Demsof Shithole Co
2375,gas talk shit and lose retard,1,Gas Talk Sial Kehilangan Retard
2376,oh this old cunt,0,oh vagina tua
2377,finally faggot was,0,Akhirnya homo
2378,as long as you are a non threatening negro and echo white feminist amp supremacist talking points your to show will,0,Selama Anda negro mengancam gema feminis putih poin pembicaraan Anda tunjukkan
2379,['oh close up you twat'],0,oh close up you twat
2380,man i just argued with a twat wearing a scouter twitter is funny like that innit,1,Man berdebat twat mengenakan twitter Scouter lucu innit
2381,['everyone write up you a bitch role playing as a child you so fucked up and should represent in prison house'],0,Semua orang menuliskan Anda peran menyebalkan anak Anda kaget diwakili rumah penjara
2382,it's a lynching no wait of it's not a lynching but it's a deep state feminacy conspiracy yeah that's it,1,Ini hukuman mati pengadilan menunggu hukuman mati pengadilan konspirasi feminasi negara ya
2383,4nwhen poor little kiddos get sicknwe want hospitals all spanandspicnthis bond gives them some new chitsnfor tec ,0,4nnen . Kiddo malang sakit . Kami rumah sakit spanandspicn chitsnfor tec
2384,make sure your place is at least spic and span before inviting a let over,0,Pastikan Anda spic rentang mengundang lepaskan
2385,fyou dipshit atleast she apologizes isnt that enough for a low self esteem cunt like younnagain i'm sorry cat ,1,fyou dipshit maaf vagina harga rendah sepertimu maaf kucing
2386,i have met spent time with gotten to know and heard the journeys of too many immigrants seeking safe,0,Saya bertemu menghabiskan mendengar perjalanan imigran mencari aman
2387,slick rick needs twat,0,Rick apik membutuhkan twat
2388,could this pompous arrogant twat ever run a country,1,Mungkinkah twat arogan sombong menjalankan negara
2389,"[""iodine ' five hundred say you could come here merely i live in a shithole country""]",0,Yodin ratus Anda tinggal negara shithole
2390,if you dip regular lays in onion dip you a full retard get some ruffles bitch have some class,0,Jika Anda mencelupkan bawang celupkan bawang retard penuh dapatkan ruffles jalang kelas
2391,pop stand with purple dyed hair in display came up to me today and pulled their eyes at me and yelled thing thong go back to your country,1,Pop stand rambut pewarna ungu layar menarik mata berteriak thong negara Anda
2392,he's a booster you moron like are u literally retarded up another toxic young kid go vibe to lie peep,0,Dia booster Anda sebor Anda -benar terbelakang anak muda beracun berbohong
2393,she anna got a clue whats going on its that money spouse bird from love island who was asking if yer,0,Dia Anna petunjuk Burung Pasangan Uang Pulau Cinta Anda
2394,if you tested me and i didn't text you back text me again my responses are on not nigger people time,0,Jika Anda menguji mengirimi mengirimi Anda SMS tanggapan
2395,could you say the same thing about lie yacht or any rapper that used faggot in the last couple of years,0,Bisakah Anda Lie Yacht rapper homo
2396,faggot ass bitch,1,Fagot Ass Bitch
2397,why wouldshould new chinese immigrants care about chinatown or strathcona,1,Mengapa imigran Cina peduli Chinatown Strathcona
2398,i can only express myself through a robust mongoloid,0,Saya mengekspresikan mongoloid kuat
2399,laughing while clapping like retard seal that me,0,tertawa bertepuk retard seal
2400,para you anorexic mongol,0,mongol anoreksia
2401,if you got your first set of grill and put em on the bottom you a faggot,1,Jika Anda set panggangan menempatkan Anda homo
2402,faggot ass dodgers,1,Fagot Ass Dodgers
2403,my rap name would be lie thing thong the,1,Nama rap dibohongi Thong
2404,someone take this pricks head off and then the cunt who interviewed him too,1,Seseorang melepas tusukan vagina mewawancarainya
2405,bitch shut yo retarded ass up looking like a great value tipsy hustle,0,jalang tutup yo retarded ass up nilai penuh tipsy hustle
2406,rondo is a retard man it'll kill myself,1,Rondo pria retard bunuh
2407,when the usa becomes a shithole country because of illegal uncontrolled immigration in the not so distant futur ,1,Saat AS negara shithole imigrasi ilegal terkendali
2408,deemster is a fucking cunt,0,Deemster vagina sialan
2409,nigger,1,orang Negro
2410,amen these feminacy managers are evil and a curse,1,Amin Manajer -manajer feminasi jahat kutukan
2411,the appeal of red scare is that the hosts are both retarded and the worst people on the internet are mad at them constantly,1,Daya tarik Red Scare tuan rumah terbelakang orang -orang terburuk internet -menerus marah
2412, i love you huhuhu miss u ching chong,0,mencintaimu huhuhu rindu ching chong
2413,all gonna realize i like a massive twat one day,0,Semua menyadari suka twat
2414,['how she remove and retarded you bitches got no alibi instantly'],0,Bagaimana menghapus memperlambat Anda pelacur langsung alibi
2415,it time de vicar mongol,0,Sudah de vicar Mongol
2416, is a disgrace it wants to trash the us and make it another shithole country ,1,aib dibuang AS menjadikannya negara shithole
2417,the best nigger roll meme,1,meme roll negro terbaik
2418,every once in a while a star calls u a faggot,0,Sesekali bintang menyebutmu homo
2419, is that part of your script no wants a feminazi there are you going to march in dc on thursday too w… ,1,Apakah naskah Anda feminazi Anda berbaris DC Kamis ...
2420,dude i saying it both you did prove me wrong you making yourself look retarded eyes the khaki is why he,0,Bung Anda salah membuktikan salah Anda Anda terbelakang khaki
2421,anti ad man in a pilgrim screw tshirt lambasts  for “giving tax money to immigrants” guyyou’re… ,1,Anti ad man peziarah sekrup t shirt lambast uang pajak imigran Anda ...
2422,  are you saying there is a basic human right for people from shithole countries to flood i ,1,Apakah Anda hak manusia dasar orang -orang negara -negara shithole membanjiri i
2423,filipinos do bad things just because of inggituh crazy mongoloid abnormalnwhy did you touch thief my ,1,orang Filipina -hal buruk inggit mongoloid gila abnormal Anda menyentuh pencuri
2424,['telephone maine a poove simply yeah i drinking tea so what'],0,Telephone Maine a poove ya minum teh
2425,this is retarded ya dah,0,terbelakang ya dah
2426,stop tweeting and go back to your country you are a tourist in kenya controlling our economy,1,Berhenti tweeting negara Anda Anda turis Kenya mengendalikan perekonomian
2427,some immigrants picked up by ice given fake dates to appear in court,1,Beberapa imigran diambil es tanggal palsu muncul pengadilan
2428,if it not such a shitholecountry then why did she leavennoh yeahbecause it a shithole country overran by ,1,Jika shitholecountry leavennoh yeahbeCause negara shithole menyerbu
2429,what a faggot,0,Betapa homo
2430,"[""governor brown vetoed senator ritard lava ' s bill and then 174 that would have appropriate illegal extraterrestrial being to serve on be""]",0,Gubernur Brown memveto RUU Senator Riterd Lava 174 memiliki makhluk angkasa ilegal melayani Be
2431,layers are ass without gonzo i swear rondo plays retarded sometimes,0,Lapisan pantat gonzo bersumpah rondo kadang -kadang terbelakang
2432,bad nigger,0,negro buruk
2433,i was ready to accept you but fate is just a fucking cunt and he made it this way,0,Aku menerimamu nasib vagina sialan berhasil
2434,have robots is retarded,1,robot terbelakang
2435,so oof is medical and he just called me a nigger,1,Jadi oof medis memanggil negro
2436,thank u spic,1,Terima kasih Spic
2437,yes i easy to toy with and not you the turkey eating retard who can stop replying to me man,1,ya mudah bermain -main Anda kalkun makan retard berhenti membalas man
2438,liberalsn preserve the rain forestn save the whalesn disrespectcountries ,0,Liberals melestarikan hutan hujan menyelamatkan paus menghormati negara -negara
2439,['feature robots has brought us to back to endorse earth series he acted like an rank retard tonight only we should fire him'],0,Fitur robot membawa mendukung seri bumi bertindak peringkat retard malam memecatnya
2440,['our country is now being run same republic of zimbabwe or do other shithole african land'],0,Negara dijalankan Republik Zimbabwe tanah Afrika shithole
2441,the army spic man fuck off ism done,1,Pria Spic Army Fuck off ISM selesai
